1 0.0000 0 0.059
2 0.1180 0 0.059
3 0.0590 -0.102 0.059
4 -0.0590 -0.102 0.059
5 -0.1180 0 0.059
6 -0.0590 0.102 0.059
7 0.0590 0.102 0.059
8 0.2360 0 0.059
9 0.1770 -0.102 0.059
10 0.1180 -0.204 0.059
11 -0.0000 -0.204 0.059
12 -0.1180 -0.204 0.059
13 -0.1770 -0.102 0.059
14 -0.2360 0 0.059
15 -0.1770 0.102 0.059
16 -0.1180 0.204 0.059
17 -0.0000 0.204 0.059
18 0.1180 0.204 0.059
19 0.1770 0.102 0.059
20 0.3540 0 0.059
21 0.2950 -0.102 0.059
22 0.2360 -0.204 0.059
23 0.1770 -0.306 0.059
24 0.0590 -0.306 0.059
25 -0.0590 -0.306 0.059
26 -0.1770 -0.306 0.059
27 -0.2360 -0.204 0.059
28 -0.2950 -0.102 0.059
29 -0.3540 0 0.059
30 -0.2950 0.102 0.059
31 -0.2360 0.204 0.059
32 -0.1770 0.306 0.059
33 -0.0590 0.306 0.059
34 0.0590 0.306 0.059
35 0.1770 0.306 0.059
36 0.2360 0.204 0.059
37 0.2950 0.102 0.059
38 0.4720 0 0.059
39 0.4130 -0.102 0.059
40 0.3540 -0.204 0.059
41 0.2950 -0.306 0.059
42 0.2360 -0.408 0.059
43 0.1180 -0.408 0.059
44 0.0000 -0.408 0.059
45 -0.1180 -0.408 0.059
46 -0.2360 -0.408 0.059
47 -0.2950 -0.306 0.059
48 -0.3540 -0.204 0.059
49 -0.4130 -0.102 0.059
50 -0.4720 0 0.059
51 -0.4130 0.102 0.059
52 -0.3540 0.204 0.059
53 -0.2950 0.306 0.059
54 -0.2360 0.408 0.059
55 -0.1180 0.408 0.059
56 0.0000 0.408 0.059
57 0.1180 0.408 0.059
58 0.2360 0.408 0.059
59 0.2950 0.306 0.059
60 0.3540 0.204 0.059
61 0.4130 0.102 0.059
62 0.5890 0 0.059
63 0.5310 -0.102 0.059
64 0.4720 -0.204 0.059
65 0.4130 -0.306 0.059
66 0.3540 -0.408 0.059
67 0.2950 -0.51 0.059
68 0.1770 -0.51 0.059
69 0.0590 -0.51 0.059
70 -0.0590 -0.51 0.059
71 -0.1770 -0.51 0.059
72 -0.2950 -0.51 0.059
73 -0.3540 -0.408 0.059
74 -0.4130 -0.306 0.059
75 -0.4720 -0.204 0.059
76 -0.5310 -0.102 0.059
77 -0.5890 0 0.059
78 -0.5310 0.102 0.059
79 -0.4720 0.204 0.059
80 -0.4130 0.306 0.059
81 -0.3540 0.408 0.059
82 -0.2950 0.51 0.059
83 -0.1770 0.51 0.059
84 -0.0590 0.51 0.059
85 0.0590 0.51 0.059
86 0.1770 0.51 0.059
87 0.2950 0.51 0.059
88 0.3540 0.408 0.059
89 0.4130 0.306 0.059
90 0.4720 0.204 0.059
91 0.5310 0.102 0.059
92 0.7070 0 0.059
93 0.6480 -0.102 0.059
94 0.5890 -0.204 0.059
95 0.5310 -0.306 0.059
96 0.4720 -0.408 0.059
97 0.4130 -0.51 0.059
98 0.3540 -0.613 0.059
99 0.2360 -0.613 0.059
100 0.1180 -0.613 0.059
101 0.0000 -0.613 0.059
102 -0.1180 -0.613 0.059
103 -0.2360 -0.613 0.059
104 -0.3540 -0.613 0.059
105 -0.4130 -0.51 0.059
106 -0.4720 -0.408 0.059
107 -0.5310 -0.306 0.059
108 -0.5890 -0.204 0.059
109 -0.6480 -0.102 0.059
110 -0.7070 0 0.059
111 -0.6480 0.102 0.059
112 -0.5890 0.204 0.059
113 -0.5310 0.306 0.059
114 -0.4720 0.408 0.059
115 -0.4130 0.51 0.059
116 -0.3540 0.613 0.059
117 -0.2360 0.613 0.059
118 -0.1180 0.613 0.059
119 0.0000 0.613 0.059
120 0.1180 0.613 0.059
121 0.2360 0.613 0.059
122 0.3540 0.613 0.059
123 0.4130 0.51 0.059
124 0.4720 0.408 0.059
125 0.5310 0.306 0.059
126 0.5890 0.204 0.059
127 0.6480 0.102 0.059
128 0.8250 0 0.059
129 0.7660 -0.102 0.059
130 0.7070 -0.204 0.059
131 0.6480 -0.306 0.059
132 0.5890 -0.408 0.059
133 0.5310 -0.51 0.059
134 0.4720 -0.613 0.059
135 0.4130 -0.715 0.059
136 0.2950 -0.715 0.059
137 0.1770 -0.715 0.059
138 0.0590 -0.715 0.059
139 -0.0590 -0.715 0.059
140 -0.1770 -0.715 0.059
141 -0.2950 -0.715 0.059
142 -0.4130 -0.715 0.059
143 -0.4720 -0.613 0.059
144 -0.5310 -0.51 0.059
145 -0.5890 -0.408 0.059
146 -0.6480 -0.306 0.059
147 -0.7070 -0.204 0.059
148 -0.7660 -0.102 0.059
149 -0.8250 0 0.059
150 -0.7660 0.102 0.059
151 -0.7070 0.204 0.059
152 -0.6480 0.306 0.059
153 -0.5890 0.408 0.059
154 -0.5310 0.51 0.059
155 -0.4720 0.613 0.059
156 -0.4130 0.715 0.059
157 -0.2950 0.715 0.059
158 -0.1770 0.715 0.059
159 -0.0590 0.715 0.059
160 0.0590 0.715 0.059
161 0.1770 0.715 0.059
162 0.2950 0.715 0.059
163 0.4130 0.715 0.059
164 0.4720 0.613 0.059
165 0.5310 0.51 0.059
166 0.5890 0.408 0.059
167 0.6480 0.306 0.059
168 0.7070 0.204 0.059
169 0.7660 0.102 0.059
170 0.9430 0 0.059
171 0.8840 -0.102 0.059
172 0.8250 -0.204 0.059
173 0.7660 -0.306 0.059
174 0.7070 -0.408 0.059
175 0.6480 -0.51 0.059
176 0.5890 -0.613 0.059
177 0.5310 -0.715 0.059
178 0.4720 -0.817 0.059
179 0.3540 -0.817 0.059
180 0.2360 -0.817 0.059
181 0.1180 -0.817 0.059
182 0.0000 -0.817 0.059
183 -0.1180 -0.817 0.059
184 -0.2360 -0.817 0.059
185 -0.3540 -0.817 0.059
186 -0.4720 -0.817 0.059
187 -0.5310 -0.715 0.059
188 -0.5890 -0.613 0.059
189 -0.6480 -0.51 0.059
190 -0.7070 -0.408 0.059
191 -0.7660 -0.306 0.059
192 -0.8250 -0.204 0.059
193 -0.8840 -0.102 0.059
194 -0.9430 0 0.059
195 -0.8840 0.102 0.059
196 -0.8250 0.204 0.059
197 -0.7660 0.306 0.059
198 -0.7070 0.408 0.059
199 -0.6480 0.51 0.059
200 -0.5890 0.613 0.059
201 -0.5310 0.715 0.059
202 -0.4720 0.817 0.059
203 -0.3540 0.817 0.059
204 -0.2360 0.817 0.059
205 -0.1180 0.817 0.059
206 0.0000 0.817 0.059
207 0.1180 0.817 0.059
208 0.2360 0.817 0.059
209 0.3540 0.817 0.059
210 0.4720 0.817 0.059
211 0.5310 0.715 0.059
212 0.5890 0.613 0.059
213 0.6480 0.51 0.059
214 0.7070 0.408 0.059
215 0.7660 0.306 0.059
216 0.8250 0.204 0.059
217 0.8840 0.102 0.059
218 1.0610 0 0.059
219 1.0020 -0.102 0.059
220 0.9430 -0.204 0.059
221 0.8840 -0.306 0.059
222 0.8250 -0.408 0.059
223 0.7660 -0.51 0.059
224 0.7070 -0.613 0.059
225 0.6480 -0.715 0.059
226 0.5890 -0.817 0.059
227 0.5310 -0.919 0.059
228 0.4130 -0.919 0.059
229 0.2950 -0.919 0.059
230 0.1770 -0.919 0.059
231 0.0590 -0.919 0.059
232 -0.0590 -0.919 0.059
233 -0.1770 -0.919 0.059
234 -0.2950 -0.919 0.059
235 -0.4130 -0.919 0.059
236 -0.5310 -0.919 0.059
237 -0.5890 -0.817 0.059
238 -0.6480 -0.715 0.059
239 -0.7070 -0.613 0.059
240 -0.7660 -0.51 0.059
241 -0.8250 -0.408 0.059
242 -0.8840 -0.306 0.059
243 -0.9430 -0.204 0.059
244 -1.0020 -0.102 0.059
245 -1.0610 0 0.059
246 -1.0020 0.102 0.059
247 -0.9430 0.204 0.059
248 -0.8840 0.306 0.059
249 -0.8250 0.408 0.059
250 -0.7660 0.51 0.059
251 -0.7070 0.613 0.059
